AcclerometerX,AcclerometerY,AcclerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,Roll,Pitch,Yaw
0.086196,0.100562,-9.922078,0.020757,0.002412,0.229302,-1572.181884,-759.577209,-1925.838623,-0.01,0,0.02
0.086196,0.100562,-9.922078,0.020757,0.002412,0.229302,-1572.181884,-759.577209,-1925.838623,-0.02,0,0.03
0.07183,0.076618,-9.917289,0.025418,0.001479,0.262192,-1572.181884,-759.577209,-1925.838623,-0.02,0.01,0.05
0.277742,0.081407,-9.902923,0.030345,0.00068,0.284164,-1572.181884,-759.577209,-1925.838623,-0.03,0.01,0.07
0.277742,0.081407,-9.902923,0.030345,0.00068,0.284164,-1572.181884,-759.577209,-1925.838623,-0.04,0.02,0.08
0.253798,7.810284,-12.474427,0.239938,0.008004,0.416791,-1572.181884,-759.577209,-1925.838623,-0.05,0.03,0.11
0.91942,-0.622524,-9.730532,1.4734,0.049683,0.693764,-1587.927246,-810.79486,-1927.414794,-0.05,0.12,0.15
0.483653,-1.498847,-9.59645,0.650338,0.025448,0.560204,-1587.927246,-810.79486,-1927.414794,-0.06,0.16,0.18
0.483653,-1.498847,-9.59645,0.650338,0.025448,0.560204,-1587.927246,-810.79486,-1927.414794,-0.07,0.2,0.22
0.507597,-0.660833,-9.845459,0.113037,0.038764,0.834115,-1587.927246,-810.79486,-1927.414794,-0.07,0.2,0.27
0.330417,-0.306473,-9.898135,0.038068,0.040096,0.905089,-1587.927246,-810.79486,-1927.414794,-0.08,0.21,0.32
0.330417,-0.306473,-9.898135,0.038068,0.040096,0.905089,-1587.927246,-810.79486,-1927.414794,-0.09,0.21,0.38
0.569849,-0.325628,-9.893346,0.05711,0.038897,0.879789,-1587.927246,-810.79486,-1927.414794,-0.09,0.22,0.43
0.316051,0.038309,-9.979541,0.047389,0.030109,0.837976,-1587.927246,-810.79486,-1927.414794,-0.1,0.22,0.48
0.316051,0.038309,-9.979541,0.047389,0.030109,0.837976,-1587.927246,-810.79486,-1927.414794,-0.11,0.23,0.53
0.167603,0.253798,-9.912501,0.042862,0.01373,0.657278,-1587.927246,-810.79486,-1927.414794,-0.11,0.23,0.57
-0.07183,-0.186757,-9.859826,0.025018,0.006273,0.291088,-1532.00415,-902.190246,-2002.893188,-0.12,0.24,0.59
-0.35436,-0.794915,-9.811939,0.009838,0.004143,0.058058,-1532.00415,-902.190246,-2002.893188,-0.13,0.24,0.59
-0.35436,-0.794915,-9.811939,0.009838,0.004143,0.058058,-1532.00415,-902.190246,-2002.893188,-0.14,0.24,0.6
-0.521963,-0.665622,-9.946022,0.006376,0.008004,0.040214,-1532.00415,-902.190246,-2002.893188,-0.14,0.24,0.6
-0.617735,-0.440556,-9.893346,0.005044,-0.013967,-0.113719,-1532.00415,-902.190246,-2002.893188,-0.15,0.25,0.6
-0.617735,-0.440556,-9.893346,0.005044,-0.013967,-0.113719,-1532.00415,-902.190246,-2002.893188,-0.16,0.25,0.59
-0.42619,-0.234644,-9.936444,0.018893,0.002412,0.036619,-1532.00415,-902.190246,-2002.893188,-0.17,0.25,0.6
-0.162814,-0.28253,-9.931655,0.025018,0.002412,0.026632,-1532.00415,-902.190246,-2002.893188,-0.18,0.26,0.6
0.052675,-0.344783,-9.931655,0.027149,0.001213,-0.003995,-1532.00415,-902.190246,-2002.893188,-0.19,0.26,0.6
0.052675,-0.344783,-9.931655,0.027149,0.001213,-0.003995,-1515.353881,-919.564453,-2011.999633,-0.19,0.26,0.6
0.110139,-0.378303,-9.917289,0.028613,0.000281,-0.014115,-1515.353881,-919.564453,-2011.999633,-0.2,0.27,0.6
0.090984,-0.363937,-9.907711,0.027282,-0.002915,-0.00759,-1515.353881,-919.564453,-2011.999633,-0.21,0.27,0.61
0.090984,-0.363937,-9.907711,0.027282,-0.002915,-0.00759,-1515.353881,-919.564453,-2011.999633,-0.22,0.27,0.61
0.124505,-0.359149,-9.902923,0.028347,-0.005711,-0.004128,-1515.353881,-919.564453,-2011.999633,-0.23,0.28,0.61
0.033521,-0.440556,-9.912501,0.035271,-0.01663,-0.093745,-1515.353881,-919.564453,-2011.999633,-0.24,0.28,0.61
0.033521,-0.440556,-9.912501,0.035271,-0.01663,-0.093745,-1515.353881,-919.564453,-2011.999633,-0.24,0.29,0.6
0.023943,-0.359149,-9.917289,0.025151,-0.004246,-0.022504,-1515.353881,-919.564453,-2011.999633,-0.25,0.29,0.6
0.076618,-0.373515,-9.955598,0.02089,-0.001983,-0.026366,-1517.887573,-924.993896,-2023.908081,-0.26,0.29,0.6
-0.378303,-0.53154,-9.912501,0.02129,0.001746,-0.069643,-1517.887573,-924.993896,-2023.908081,-0.27,0.3,0.6
-0.378303,-0.53154,-9.912501,0.02129,0.001746,-0.069643,-1517.887573,-924.993896,-2023.908081,-0.28,0.3,0.6
-0.253798,-0.718297,-9.778418,0.022355,-0.003181,-0.224375,-1517.887573,-924.993896,-2023.908081,-0.28,0.3,0.59
-0.143659,-0.502808,-9.907711,0.020491,-0.012769,-0.285229,-1517.887573,-924.993896,-2023.908081,-0.29,0.31,0.57
-0.143659,-0.502808,-9.907711,0.020491,-0.012769,-0.285229,-1517.887573,-924.993896,-2023.908081,-0.3,0.31,0.56
-0.181969,-0.277742,-9.922078,0.017961,0.001746,-0.164453,-1517.887573,-924.993896,-2023.908081,-0.31,0.32,0.55
-0.263376,-0.229855,-9.907711,0.024485,0.002278,-0.033689,-1517.887573,-924.993896,-2023.908081,-0.32,0.32,0.55
-0.263376,-0.229855,-9.907711,0.024485,0.002278,-0.033689,-1517.887573,-924.993896,-2023.908081,-0.33,0.32,0.55
0.009577,-0.215489,-9.902923,0.029013,0.001613,0.030494,-1517.887573,-924.993896,-2023.908081,-0.33,0.33,0.56
0.277742,-0.368726,-9.941232,0.029013,0.005474,0.115982,-1516.801757,-921.374267,-2020.405639,-0.34,0.33,0.56
0.205912,-0.42619,-9.936444,0.029412,0.002278,0.083358,-1516.801757,-921.374267,-2020.405639,-0.35,0.33,0.57
0.205912,-0.42619,-9.936444,0.029412,0.002278,0.083358,-1516.801757,-921.374267,-2020.405639,-0.36,0.34,0.58
0.138871,-0.411824,-9.917289,0.03607,0.002944,0.021572,-1516.801757,-921.374267,-2020.405639,-0.37,0.34,0.58
-0.004789,-0.363937,-9.907711,0.037269,-0.001317,-0.041146,-1516.801757,-921.374267,-2020.405639,-0.37,0.35,0.58
-0.004789,-0.363937,-9.907711,0.037269,-0.001317,-0.041146,-1516.801757,-921.374267,-2020.405639,-0.38,0.35,0.58
0.028732,-0.392669,-9.907711,0.031543,-0.005844,-0.091614,-1516.801757,-921.374267,-2020.405639,-0.39,0.36,0.58
0.124505,-0.325628,-9.926867,0.027016,-0.007842,-0.119045,-1516.801757,-921.374267,-2020.405639,-0.4,0.36,0.57
0.311262,-0.435767,-9.917289,0.024086,-0.00651,-0.07204,-1531.280151,-909.791442,-2015.852416,-0.41,0.36,0.57
0.311262,-0.435767,-9.917289,0.024086,-0.00651,-0.07204,-1531.280151,-909.791442,-2015.852416,-0.41,0.37,0.57
0.56506,-0.407035,-9.917289,0.02342,-0.006643,-0.035154,-1531.280151,-909.791442,-2015.852416,-0.42,0.37,0.57
0.440556,-0.383092,-9.931655,0.02129,-0.005578,-0.039948,-1531.280151,-909.791442,-2015.852416,-0.43,0.37,0.57
0.440556,-0.383092,-9.931655,0.02129,-0.005578,-0.039948,-1531.280151,-909.791442,-2015.852416,-0.44,0.38,0.57
0.35436,-0.363937,-9.912501,0.023021,-0.00651,-0.052332,-1531.280151,-909.791442,-2015.852416,-0.45,0.38,0.57
0.225066,-0.344783,-9.922078,0.022754,-0.005179,-0.039815,-1531.280151,-909.791442,-2015.852416,-0.46,0.38,0.56
0.225066,-0.344783,-9.922078,0.022754,-0.005179,-0.039815,-1531.280151,-909.791442,-2015.852416,-0.46,0.39,0.56
0.100562,-0.344783,-9.926867,0.022222,-0.003847,-0.015313,-1531.280151,-909.791442,-2015.852416,-0.47,0.39,0.57
0.081407,-0.339994,-9.95081,0.025018,-0.002249,-0.003196,-1531.461181,-909.972473,-2016.027587,-0.48,0.39,0.57
0.10535,-0.373515,-9.946022,0.025418,-0.000518,0.004661,-1531.461181,-909.972473,-2016.027587,-0.49,0.4,0.57
0.10535,-0.373515,-9.946022,0.025418,-0.000518,0.004661,-1531.461181,-909.972473,-2016.027587,-0.5,0.4,0.57
0.110139,-0.359149,-9.941232,0.027814,-0.00145,0.011185,-1531.461181,-909.972473,-2016.027587,-0.5,0.41,0.57
0.153237,-0.445344,-9.907711,0.031143,-0.00438,0.040214,-1531.461181,-909.972473,-2016.027587,-0.51,0.41,0.58
0.153237,-0.445344,-9.907711,0.031143,-0.00438,0.040214,-1531.461181,-909.972473,-2016.027587,-0.52,0.41,0.58
-0.148448,-0.186757,-9.936444,0.030478,0.000547,0.114784,-1531.461181,-909.972473,-2016.027587,-0.53,0.42,0.59
0.196335,-0.483653,-9.874192,0.032076,0.00108,0.10027,-1531.461181,-909.972473,-2016.027587,-0.54,0.42,0.6
0.052675,-0.325628,-9.922078,0.031676,0.00654,0.156463,-1530.375244,-911.058349,-2017.778808,-0.54,0.43,0.61
0.052675,-0.325628,-9.922078,0.031676,0.00654,0.156463,-1530.375244,-911.058349,-2017.778808,-0.55,0.43,0.62
-0.019155,-0.28253,-9.936444,0.030345,0.007472,0.151137,-1530.375244,-911.058349,-2017.778808,-0.56,0.43,0.63
0.17718,-0.430978,-9.907711,0.030345,0.006673,0.134891,-1530.375244,-911.058349,-2017.778808,-0.57,0.44,0.64
0.17718,-0.430978,-9.907711,0.030345,0.006673,0.134891,-1530.375244,-911.058349,-2017.778808,-0.57,0.44,0.65
0.057464,-0.397458,-9.907711,0.028747,0.007472,0.14621,-1530.375244,-911.058349,-2017.778808,-0.58,0.45,0.66
-0.067041,-0.263376,-9.907711,0.027548,0.006007,0.103599,-1530.375244,-911.058349,-2017.778808,-0.59,0.45,0.67
-0.067041,-0.263376,-9.907711,0.027548,0.006007,0.103599,-1530.375244,-911.058349,-2017.778808,-0.59,0.45,0.68
0.023943,-0.320839,-9.912501,0.027948,0.002012,0.037551,-1530.375244,-911.058349,-2017.778808,-0.6,0.46,0.68
0.062252,-0.363937,-9.902923,0.026616,0.001213,0.00799,-1530.375244,-911.058349,-2017.778808,-0.61,0.46,0.68
0.067041,-0.383092,-9.936444,0.025284,0.000281,-0.001332,-1531.461181,-911.782226,-2015.677246,-0.62,0.46,0.68
0.067041,-0.383092,-9.936444,0.025284,0.000281,-0.001332,-1531.461181,-911.782226,-2015.677246,-0.62,0.47,0.68
0.057464,-0.383092,-9.902923,0.024219,-0.001051,-0.002796,-1531.461181,-911.782226,-2015.677246,-0.63,0.47,0.69
0.095773,-0.344783,-9.907711,0.023687,0.000015,-0.001997,-1531.461181,-911.782226,-2015.677246,-0.64,0.47,0.69
0.095773,-0.344783,-9.907711,0.023687,0.000015,-0.001997,-1531.461181,-911.782226,-2015.677246,-0.65,0.48,0.69
0.090984,-0.368726,-9.893346,0.024619,-0.000119,-0.001332,-1531.461181,-911.782226,-2015.677246,-0.65,0.48,0.69
0.114928,-0.378303,-9.902923,0.024086,-0.000252,0.003728,-1531.461181,-911.782226,-2015.677246,-0.66,0.48,0.69
0.172391,-0.397458,-9.926867,0.025418,0.003344,0.02317,-1531.461181,-911.782226,-2015.677246,-0.67,0.49,0.7
0.172391,-0.397458,-9.926867,0.025418,0.003344,0.02317,-1531.461181,-911.782226,-2015.677246,-0.68,0.49,0.7
-0.014366,-0.292108,-9.926867,0.025418,0.001879,0.032624,-1531.461181,-910.69635,-2016.377807,-0.68,0.5,0.7
0.067041,-0.359149,-9.922078,0.026882,0.000814,0.004128,-1531.461181,-910.69635,-2016.377807,-0.69,0.5,0.71
0.067041,-0.359149,-9.922078,0.026882,0.000814,0.004128,-1531.461181,-910.69635,-2016.377807,-0.7,0.5,0.71
0.086196,-0.363937,-9.912501,0.026483,0.00068,-0.004927,-1531.461181,-910.69635,-2016.377807,-0.71,0.51,0.71
0.081407,-0.368726,-9.902923,0.025684,0.000281,-0.004128,-1531.461181,-910.69635,-2016.377807,-0.71,0.51,0.71
0.086196,-0.368726,-9.926867,0.026217,0.000414,-0.001598,-1531.461181,-910.69635,-2016.377807,-0.72,0.51,0.71
0.086196,-0.368726,-9.926867,0.026217,0.000414,-0.001598,-1531.461181,-910.69635,-2016.377807,-0.73,0.52,0.71
0.090984,-0.368726,-9.907711,0.027814,0.001346,-0.000266,-1531.461181,-910.69635,-2016.377807,-0.74,0.52,0.72
0.076618,-0.363937,-9.931655,0.027681,0.001479,-0.000399,-1532.366088,-910.153442,-2014.451416,-0.74,0.52,0.72
0.076618,-0.363937,-9.931655,0.027681,0.001479,-0.000399,-1532.366088,-910.153442,-2014.451416,-0.75,0.53,0.72
