,44.340343,44.702304,-45.357116,-11.87,-42.85,-16.27,,,,,,,,,,
0.086196,-7.767186,5.827784,0.003032,0.000804,0.000055,43.43544,46.331134,-44.481498,-11.87,-42.85,-16.27,,,,,
0.086196,-7.767186,5.827784,0.003032,0.000804,0.000055,43.43544,46.331134,-44.481498,-11.87,-42.85,-16.27,,,,,
0.081407,-7.776763,5.837361,-0.001629,0.001071,0.000854,43.43544,46.331134,-44.481498,-11.87,-42.85,-16.27,,,,,
0.086196,-7.795918,5.832572,0.001834,0.000804,-0.000079,43.43544,46.331134,-44.481498,-11.87,-42.85,-16.27,,,,,
0.086196,-7.795918,5.832572,0.001834,0.000804,-0.000079,43.43544,46.331134,-44.481498,-11.87,-42.85,-16.27,,,,,
0.076618,-7.781552,5.827784,-0.00043,0.001736,0.000321,43.43544,46.331134,-44.481498,-11.87,-42.86,-16.27,,,,,
0.07183,-7.776763,5.827784,-0.00043,0.000538,0.000587,43.43544,46.331134,-44.481498,-11.87,-42.86,-16.27,,,,,
0.07183,-7.776763,5.827784,-0.00043,0.000538,0.000587,43.43544,46.331134,-44.481498,-11.87,-42.86,-16.27,,,,,
0.081407,-7.771975,5.832572,0.001834,0.001204,0.000188,43.43544,46.331134,-44.481498,-11.87,-42.86,-16.27,,,,,
0.086196,-7.762397,5.827784,-0.000031,0.001071,0.000188,43.43544,46.331134,-44.481498,-11.87,-42.86,-16.27,,,,,
0.090984,-7.767186,5.822995,0.0021,0.000937,-0.000079,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.090984,-7.767186,5.822995,0.0021,0.000937,-0.000079,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.100562,-7.776763,5.837361,0.000103,0.000671,-0.000345,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.067041,-7.757609,5.808629,-0.000164,0.001204,0.000321,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.067041,-7.757609,5.808629,-0.000164,0.001204,0.000321,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.076618,-7.767186,5.837361,0.000236,0.000804,0.000188,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.081407,-7.776763,5.846939,0.000901,-0.000394,0.000055,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.081407,-7.776763,5.846939,0.000901,-0.000394,0.000055,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.090984,-7.762397,5.846939,0.000768,0.000272,0.00072,44.340343,45.426231,-46.057613,-11.87,-42.86,-16.27,,,,,
0.081407,-7.767186,5.803841,-0.000297,0.000138,0.001386,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.090984,-7.762397,5.822995,0.000635,-0.000394,0.00112,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.090984,-7.762397,5.822995,0.000635,-0.000394,0.00112,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.086196,-7.781552,5.832572,0.0017,0.000138,0.00072,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.076618,-7.771975,5.87567,-0.000696,0.000937,0.000188,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.076618,-7.771975,5.87567,-0.000696,0.000937,0.000188,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.086196,-7.762397,5.856516,0.001434,0.000804,0.00112,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.090984,-7.776763,5.861304,0.000901,-0.000128,-0.000079,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.090984,-7.776763,5.861304,0.000901,-0.000128,-0.000079,44.702304,47.598003,-45.707366,-11.87,-42.86,-16.27,,,,,
0.076618,-7.771975,5.837361,0.001567,0.001337,0.000321,43.978382,45.788192,-45.00687,-11.87,-42.86,-16.27,,,,,
0.081407,-7.767186,5.837361,0.003565,0.002003,0.000454,43.978382,45.788192,-45.00687,-11.87,-42.86,-16.27,,,,,
0.086196,-7.786341,5.851727,-0.001096,0.00187,0.000055,43.978382,45.788192,-45.00687,-11.87,-42.86,-16.27,,,,,
0.086196,-7.786341,5.851727,-0.001096,0.00187,0.000055,43.978382,45.788192,-45.00687,-11.87,-42.86,-16.27,,,,,
0.076618,-7.776763,5.84215,-0.00296,0.000804,0.000055,43.978382,45.788192,-45.00687,-11.87,-42.86,-16.27,,,,,
0.086196,-7.771975,5.822995,-0.000963,0.000538,0.000055,43.978382,45.788192,-45.00687,-11.88,-42.86,-16.27,,,,,
0.086196,-7.771975,5.822995,-0.000963,0.000538,0.000055,43.978382,45.788192,-45.00687,-11.88,-42.86,-16.27,,,,,
0.086196,-7.767186,5.832572,0.001967,0.000272,0.000454,43.978382,45.788192,-45.00687,-11.88,-42.86,-16.27,,,,,
0.090984,-7.767186,5.818207,0.000768,0.000804,0.000854,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.090984,-7.767186,5.818207,0.000768,0.000804,0.000854,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.081407,-7.757609,5.818207,-0.000696,0.001337,0.000987,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.076618,-7.781552,5.856516,0.003298,0.000538,0.000587,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.090984,-7.762397,5.851727,-0.002294,0.000405,0.000321,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.090984,-7.762397,5.851727,-0.002294,0.000405,0.000321,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.090984,-7.767186,5.851727,0.000369,0.001071,0.00112,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.095773,-7.776763,5.846939,0.000103,0.000538,-0.000079,43.254459,47.959964,-45.00687,-11.88,-42.86,-16.27,,,,,
0.095773,-7.776763,5.846939,0.000103,0.000538,-0.000079,43.254459,47.959964,-45.00687,-11.88,-42.87,-16.27,,,,,
0.076618,-7.776763,5.832572,0.001168,0.000405,0.000321,43.254459,47.959964,-45.00687,-11.88,-42.87,-16.27,,,,,
0.081407,-7.776763,5.827784,0.003032,0.000671,-0.000611,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
0.081407,-7.776763,5.827784,0.003032,0.000671,-0.000611,42.711513,45.607212,-45.532241,-11.88,-42.87,-16.27,,,,,
