AcclerometerX,AcclerometerY,AcclerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,MagnetometerX,MagnetometerY,MagnetometerZ,Roll,Pitch,Yaw
-9.682645,-0.067041,0.38788,0.021399,0.023011,-0.05189,22.984586,45.064266,-37.65166,0.01,0,-0.01
-9.682645,-0.067041,0.38788,0.021399,0.023011,-0.05189,22.984586,45.064266,-37.65166,0,0,-0.02
-9.639548,-0.172391,0.45971,0.027524,-0.017203,-0.030851,22.984586,45.064266,-37.65166,0,-0.01,-0.03
-9.730532,0.009577,0.464499,0.036046,-0.000292,0.07874,22.984586,45.064266,-37.65166,0,-0.01,-0.03
-9.730532,0.009577,0.464499,0.036046,-0.000292,0.07874,22.984586,45.064266,-37.65166,-0.01,-0.01,-0.03
-9.7018,-0.062252,0.445344,0.034315,0.007432,0.009364,22.984586,45.064266,-37.65166,-0.01,-0.01,-0.04
-9.682645,-0.081407,0.464499,0.030454,-0.015339,0.008165,23.889492,45.607212,-38.527282,-0.01,-0.02,-0.04
-9.682645,-0.081407,0.464499,0.030454,-0.015339,0.008165,23.889492,45.607212,-38.527282,-0.02,-0.02,-0.05
-9.677857,-0.086196,0.397458,0.037112,0.014889,0.042521,23.889492,45.607212,-38.527282,-0.02,-0.02,-0.05
-9.725744,-0.028732,0.498019,0.032851,-0.011344,0.05597,23.889492,45.607212,-38.527282,-0.02,-0.03,-0.06
-9.725744,-0.028732,0.498019,0.032851,-0.011344,0.05597,23.889492,45.607212,-38.527282,-0.02,-0.03,-0.06
-9.682645,-0.067041,0.445344,0.034715,0.008097,0.025876,23.889492,45.607212,-38.527282,-0.03,-0.03,-0.07
-9.697011,-0.067041,0.445344,0.033117,-0.003221,0.032401,23.889492,45.607212,-38.527282,-0.03,-0.04,-0.07
-9.7018,-0.014366,0.45971,0.03365,0.000374,0.047048,23.889492,45.607212,-38.527282,-0.03,-0.04,-0.08
-9.7018,-0.014366,0.45971,0.03365,0.000374,0.047048,23.889492,45.607212,-38.527282,-0.03,-0.04,-0.08
-9.697011,-0.043098,0.454922,0.034981,0.000907,0.027607,23.889492,45.607212,-38.527282,-0.04,-0.04,-0.08
-9.716166,-0.052675,0.450133,0.032717,-0.003887,0.025077,21.71772,51.398601,-37.126289,-0.04,-0.05,-0.09
-9.716166,-0.052675,0.450133,0.032717,-0.003887,0.025077,21.71772,51.398601,-37.126289,-0.04,-0.05,-0.09
-9.706589,-0.052675,0.445344,0.034049,0.002505,0.032134,21.71772,51.398601,-37.126289,-0.05,-0.05,-0.1
-9.711378,-0.033521,0.454922,0.033383,-0.001224,0.034931,21.71772,51.398601,-37.126289,-0.05,-0.06,-0.1
-9.711378,-0.033521,0.454922,0.033383,-0.001224,0.034931,21.71772,51.398601,-37.126289,-0.05,-0.06,-0.11
-9.7018,-0.033521,0.450133,0.033916,0.00064,0.020017,21.71772,51.398601,-37.126289,-0.05,-0.06,-0.11
-9.7018,-0.057464,0.45971,0.033117,-0.001357,0.016022,21.71772,51.398601,-37.126289,-0.06,-0.06,-0.12
-9.7018,-0.057464,0.45971,0.033117,-0.001357,0.016022,21.71772,51.398601,-37.126289,-0.06,-0.07,-0.13
-9.682645,-0.028732,0.440556,0.032984,-0.001357,0.02774,21.71772,51.398601,-37.126289,-0.06,-0.07,-0.13
-9.687434,-0.052675,0.42619,0.032851,-0.000558,0.018152,21.8987,50.493698,-37.301414,-0.07,-0.07,-0.14
-9.687434,-0.062252,0.435767,0.032984,-0.000824,0.024145,21.8987,50.493698,-37.301414,-0.07,-0.07,-0.14
-9.687434,-0.062252,0.435767,0.032984,-0.000824,0.024145,21.8987,50.493698,-37.301414,-0.07,-0.08,-0.15
-9.682645,-0.033521,0.464499,0.03365,-0.000025,0.031868,21.8987,50.493698,-37.301414,-0.08,-0.08,-0.15
-9.7018,-0.019155,0.430978,0.03365,-0.000025,0.028805,21.8987,50.493698,-37.301414,-0.08,-0.08,-0.16
-9.7018,-0.019155,0.430978,0.03365,-0.000025,0.028805,21.8987,50.493698,-37.301414,-0.08,-0.08,-0.16
-9.682645,-0.028732,0.464499,0.033916,-0.001091,0.025476,21.8987,50.493698,-37.301414,-0.08,-0.09,-0.17
-9.687434,-0.028732,0.464499,0.033783,-0.000025,0.022946,21.8987,50.493698,-37.301414,-0.09,-0.09,-0.17
-9.687434,-0.028732,0.464499,0.033783,-0.000025,0.022946,21.8987,50.493698,-37.301414,-0.09,-0.09,-0.18
-9.697011,-0.033521,0.430978,0.03325,-0.000824,0.027607,20.631834,49.226829,-36.425792,-0.09,-0.1,-0.19
-9.716166,-0.019155,0.445344,0.034848,0.001573,0.032933,20.631834,49.226829,-36.425792,-0.1,-0.1,-0.19
-9.716166,-0.019155,0.445344,0.034848,0.001573,0.032933,20.631834,49.226829,-36.425792,-0.1,-0.1,-0.19
